fish_name,index,url
Jobfish (group),105,http://rules.fish.wa.gov.au/Species/Index/105
"Tuna, yellowfin",106,http://rules.fish.wa.gov.au/Species/Index/106
Wahoo,107,http://rules.fish.wa.gov.au/Species/Index/107
"Cod, Chinaman",108,http://rules.fish.wa.gov.au/Species/Index/108
Black jewfish,109,http://rules.fish.wa.gov.au/Species/Index/109
Oysters (group),110,http://rules.fish.wa.gov.au/Species/Index/110
Razorshells (group),111,http://rules.fish.wa.gov.au/Species/Index/111
Scallops (group),112,http://rules.fish.wa.gov.au/Species/Index/112
Cuttlefish (group),113,http://rules.fish.wa.gov.au/Species/Index/113
Octopus (group),114,http://rules.fish.wa.gov.au/Species/Index/114
"Cobbler, estuarine",115,http://rules.fish.wa.gov.au/Species/Index/115
Dart (group),116,http://rules.fish.wa.gov.au/Species/Index/116
Golden snapper,117,http://rules.fish.wa.gov.au/Species/Index/117
Flounder (group),118,http://rules.fish.wa.gov.au/Species/Index/118
Javelinfish (group),119,http://rules.fish.wa.gov.au/Species/Index/119
Leatherjacket (group),120,http://rules.fish.wa.gov.au/Species/Index/120
Mulloway,121,http://rules.fish.wa.gov.au/Species/Index/121
Mangrove jack,122,http://rules.fish.wa.gov.au/Species/Index/122
"Pike, long finned",123,http://rules.fish.wa.gov.au/Species/Index/123
Sea sweep,124,http://rules.fish.wa.gov.au/Species/Index/124
Sweetlips (group),125,http://rules.fish.wa.gov.au/Species/Index/125
Snook (group),126,http://rules.fish.wa.gov.au/Species/Index/126
Tripletail,127,http://rules.fish.wa.gov.au/Species/Index/127
"Salmon, western Australian",128,http://rules.fish.wa.gov.au/Species/Index/128
"Whiting, King George",129,http://rules.fish.wa.gov.au/Species/Index/129
"Cod, potato",130,http://rules.fish.wa.gov.au/Species/Index/130
"Groper, Queensland",131,http://rules.fish.wa.gov.au/Species/Index/131
"Wrasse, Humphead Maori",132,http://rules.fish.wa.gov.au/Species/Index/132
"Seadragon, leafy",133,http://rules.fish.wa.gov.au/Species/Index/133
Mullet (group),134,http://rules.fish.wa.gov.au/Species/Index/134
"Shark, whale",135,http://rules.fish.wa.gov.au/Species/Index/135
Sawfish (group),136,http://rules.fish.wa.gov.au/Species/Index/136
"Seadragon, weedy",137,http://rules.fish.wa.gov.au/Species/Index/137
"Bream, silver",138,http://rules.fish.wa.gov.au/Species/Index/138
"Minnow, western trout ",139,http://rules.fish.wa.gov.au/Species/Index/139
"Minnow, mud",140,http://rules.fish.wa.gov.au/Species/Index/140
"Minnow, black-stripe",141,http://rules.fish.wa.gov.au/Species/Index/141
