,,,Too,Under,Too,Over,Catch,
Reporting Group,Common Name,Scientific Name,,,,,,Other
,,,Small,Size,Many,Limit,Release,
,,,,,,,,
,Golden Trevally,Gnathanodon speciosus,4%,13%,67%,0%,2%,15%
,Samsonfish,Seriola hippos,4%,13%,41%,0%,10%,31%
,Silver Trevallies,Pseudocaranx georgianus spp. complex,20%,32%,36%,1%,5%,5%
,Yellowtail Kingfish,Seriola lalandi,28%,15%,23%,0%,21%,12%
Tropical Snappers,Crimson Snapper,Lutjanus erythropterus,49%,13%,32%,1%,3%,1%
,Red Emperor,Lutjanus sebae,5%,82%,5%,3%,2%,3%
,Saddletail Snapper,Lutjanus malabaricus,27%,36%,37%,0%,0%,0%
,Stripey Snapper,Lutjanus carponotatus,11%,45%,32%,1%,3%,7%
,Moses' Snapper,Lutjanus russellii,19%,60%,20%,0%,1%,0%
,Mangrove Jack,Lutjanus argentimaculatus,4%,38%,32%,3%,22%,0%
,Golden Snapper,Lutjanus johnii,14%,34%,39%,0%,12%,0%
Tunas,Mackerel Tuna,Euthynnus affinis,4%,2%,28%,0%,41%,25%
,Skipjack Tuna,Katsuwonus pelamis,7%,39%,44%,0%,2%,7%
,Southern Bluefin Tuna,Thunnus maccoyii,6%,0%,32%,16%,20%,26%
,Yellowfin Tuna,Thunnus albacares,5%,7%,19%,0%,52%,17%
Whitings,King George Whiting,Sillaginodes punctatus,14%,77%,4%,0%,5%,0%
,Yellowfin Whiting,Sillago schomburgkii,56%,24%,15%,0%,4%,1%
,Southern School Whiting,Sillago bassensis,54%,26%,11%,4%,3%,2%
,Western School Whiting,Sillago vittata,69%,22%,4%,5%,0%,0%
Wrasses,Baldchin Groper,Choerodon rubescens,7%,77%,6%,5%,3%,2%
,Blackspot Tuskfish,Choerodon schoenleinii,9%,78%,10%,0%,2%,1%
,Blue Tuskfish,Choerodon cyanodus,7%,85%,6%,0%,0%,1%
,Brownspotted Wrasse,Notolabrus parilus,1%,6%,50%,0%,2%,40%
,Foxfish,Bodianus frenchii,1%,19%,32%,3%,3%,43%
,Southern Maori Wrasse,Ophthalmolepis lineolatus,0%,1%,39%,0%,21%,39%
,Western King Wrasse,Coris auricularis,3%,3%,61%,0%,2%,31%
,Wrasses,Labridae - undifferentiated,2%,9%,30%,0%,4%,56%
