Reporting Group,Common Name,Scientific Name,Kept,se,Released,se,Total,se,% Rel
Cods,Breaksea Cod,Epinephelides armatus,"1,483",482,279,108,"1,762",548,16%
Morwongs,Blue Morwong,Nemadactylus valenciennesi,655,193,40,24,695,200,6%
Redfish,Bight Redfish,Centroberyx gerrardi,"2,920","1,009",957,522,"3,877","1,327",25%
Salmon Herrings,Australian Herring,Arripis georgianus,"2,533",845,"1,609","1,146","4,143","1,566",39%
