"","lieux","longitude","latitude","Titre","poissons_liste","img_tags","fish_urls"
"11","Carnac Island, Western Australia",115.6620901,-32.1209579,"Series 6 Ep 3 Cockburn King George Whiting<br>Cockburn pink snapper<br>Ryan takes Steve out for more Pink Snapper fishing in the Cockburn Sound. This episode is a more in-depth show on how to catch them<br>Cockburn Sound Pink Snapper on Jigs <br>Cockburn Sound Pink Snapper<br>Steve heads out into the Cockburn Sound to learn from the Master Pink Snapper catcher Ryan Thipthorp<br>Well it never seems to end , everyone keeps asking Ryan about pink snapper. So for the last time here is Ryan fishing the pink snapper at night in Cockburn Sound","<li> King George Whiting Fish </li><li> Pink Snapper Fish </li>","<img src=' http://rules.fish.wa.gov.au/species/image/24 ' width='200'><br><img src=' http://rules.fish.wa.gov.au/species/image/13 ' width='200'>","<a href=' http://rules.fish.wa.gov.au/Species/Index/24 '> http://rules.fish.wa.gov.au/Species/Index/24 </a><br><a href=' http://rules.fish.wa.gov.au/Species/Index/13 '> http://rules.fish.wa.gov.au/Species/Index/13 </a>"
"12","Carnarvon, Western Australia",113.6570584,-24.8838363,"Oyster Creek Carnarvon Fishing WA Series 4 Ep 3 Part 2","<li> Oyster Fish </li>","<img src=' http://rules.fish.wa.gov.au/species/image/110 ' width='200'>","<a href=' http://rules.fish.wa.gov.au/Species/Index/110 '> http://rules.fish.wa.gov.au/Species/Index/110 </a>"
"13","Claremont Jetty, Western Australia",115.7814816,-31.989251,"Steve and Kurt go to the swan River in Claremont to try out some new stuff on Flathead","<li> Flathead Fish </li>","<img src=' http://rules.fish.wa.gov.au/species/image/19 ' width='200'>","<a href=' http://rules.fish.wa.gov.au/Species/Index/19 '> http://rules.fish.wa.gov.au/Species/Index/19 </a>"
"14","Cocos Islands, Western Australia",96.8417393,-12.1708739,"Cocos Islands Giant Trevally's<br>Steve is in the Cocos Islands hooking into Giant Trevally's at night off the local jetty","<li> Giant Trevally Fish </li>","<img src=' http://rules.fish.wa.gov.au/species/image/97 ' width='200'>","<a href=' http://rules.fish.wa.gov.au/Species/Index/97 '> http://rules.fish.wa.gov.au/Species/Index/97 </a>"
"15","Coral Bay, Western Australia",113.7723112,-23.1422976,"Coral Bay Monster Marlin  Fishing WA Series 3 Ep 13 Part 2<br>Coral Bay Blue Marlin <br>Steve and Ian are still in Coral Bay but this time Ian is going all out to catch a Marlin<br>Fishing Western Australia Series 13 Episode 10 Preview - Coral Bay Marlin<br>From the Fishing WA Archives Episode 4 - Coral Bay","<li> Marlin Fish </li><li> Blue Marlin Fish </li>","<img src=' http://rules.fish.wa.gov.au/species/image/77 ' width='200'>","<a href=' http://rules.fish.wa.gov.au/Species/Index/77 '> http://rules.fish.wa.gov.au/Species/Index/77 </a>"
"16","Dampier, Western Australia",116.7104871,-20.6624015,"Dampier Manta Rays and cobia<br>Best of Fishing WA Episode 9 Preview - Dampier Archipelago","<li> Manta Ray Fish </li><li>  Cobia Fish </li><li> Trout Fish </li><li>  Giant Trevally Fish </li>","<img src=' http://rules.fish.wa.gov.au/species/image/162 ' width='200'><br><img src=' http://rules.fish.wa.gov.au/species/image/72 ' width='200'><br><img src=' http://rules.fish.wa.gov.au/species/image/97 ' width='200'>","<a href=' http://rules.fish.wa.gov.au/Species/Index/162 '> http://rules.fish.wa.gov.au/Species/Index/162 </a><br><a href=' http://rules.fish.wa.gov.au/Species/Index/72 '> http://rules.fish.wa.gov.au/Species/Index/72 </a><br><a href=' http://rules.fish.wa.gov.au/Species/Index/97 '> http://rules.fish.wa.gov.au/Species/Index/97 </a>"
"17","Denmark, Western Australia",117.3530319,-34.9611404,"Fishing WA Series 3 Ep 5 Full Show<br>Denmark Herring how to <br>Steve and the ever dashing Harry :) are in Denmark to catch Herring","<li> Herring Fish </li>","<img src=' http://rules.fish.wa.gov.au/species/image/7 ' width='200'>","<a href=' http://rules.fish.wa.gov.au/Species/Index/07 '> http://rules.fish.wa.gov.au/Species/Index/07 </a>"
"18","Derby, Western Australia",123.6401839,-17.309288,"Series 5 Ep 11 Derby","<li> Barramundi Fish </li>","<img src=' http://rules.fish.wa.gov.au/species/image/18 ' width='200'>","<a href=' http://rules.fish.wa.gov.au/Species/Index/18 '> http://rules.fish.wa.gov.au/Species/Index/18 </a>"
"19","Dunsborough, Western Australia",115.1073616,-33.6177125,"Series 6 Ep 3 Dunsborough Dhufish","<li> Dhufish Fish </li>","<img src=' http://rules.fish.wa.gov.au/species/image/14 ' width='200'>","<a href=' http://rules.fish.wa.gov.au/Species/Index/14 '> http://rules.fish.wa.gov.au/Species/Index/14 </a>"
"20","East Fremantle Yacht Club, Western Australia",115.7641565,-32.0409373,"East Fremantle Whiting at night <br>Steve tags along with Ryan and Steve to East Fremantle to catch a feed of Whiting at night<br>East Fremantle Flathead <br>Steve drags out Tommo from the Ch9 sports team for a bit of Flathead bashing in East Fremantle","<li> Whiting Fish </li><li> Flathead Fish </li>","<img src=' http://rules.fish.wa.gov.au/species/image/24 ' width='200'><br><img src=' http://rules.fish.wa.gov.au/species/image/19 ' width='200'>","<a href=' http://rules.fish.wa.gov.au/Species/Index/24 '> http://rules.fish.wa.gov.au/Species/Index/24 </a><br><a href=' http://rules.fish.wa.gov.au/Species/Index/19 '> http://rules.fish.wa.gov.au/Species/Index/19 </a>"
