"","lieux","longitude","latitude","Titre","poissons_liste","img_tags","fish_urls"
"41","Murchison River, Western Australia",118.842199434332,-25.8748055845538,"Fishing Kalbarri river ","<li> Mangrove Mangrove Jack Fish </li>","<img src=' http://rules.fish.wa.gov.au/species/image/122 ' width='200'>","<a href=' http://rules.fish.wa.gov.au/Species/Index/122 '> http://rules.fish.wa.gov.au/Species/Index/122 </a>"
"42","Onslow, Western Australia",115.105188,-21.6671744,"Fishing Western Australia Season 13 Episode 3 Preview - Onslow Part 2","<li> Tuna Fish </li>","<img src=' http://rules.fish.wa.gov.au/species/image/106 ' width='200'>","<a href=' http://rules.fish.wa.gov.au/Species/Index/106 '> http://rules.fish.wa.gov.au/Species/Index/106 </a>"
"43","Ord River, Western Australia",127.938856,-17.7562429,"Best of Fishing WA Episode 13 Preview - Ord River Barramundi","<li> Barramundi Fish </li>","<img src=' http://rules.fish.wa.gov.au/species/image/18 ' width='200'>","<a href=' http://rules.fish.wa.gov.au/Species/Index/18 '> http://rules.fish.wa.gov.au/Species/Index/18 </a>"
"44","Parmelia Bank, Western Australia",115.7081,-32.11889,"Cockburn Sound / Parmelia Bank , Squid and Whiting, Fishing WA Series 4 Ep 6 part 1<br>King George Whiting <br> Fishing WA Series 3 Ep 10 Part 2<br>Parmelia bank Cockburn sound Flathead ","<li> Squid Fish </li><li>  Whiting Fish </li><li> King George Whiting Fish </li><li> Flathead Fish </li>","<img src=' http://rules.fish.wa.gov.au/species/image/24 ' width='200'><br><img src=' http://rules.fish.wa.gov.au/species/image/28 ' width='200'><br><img src=' http://rules.fish.wa.gov.au/species/image/19 ' width='200'>","<a href=' http://rules.fish.wa.gov.au/Species/Index/24 '> http://rules.fish.wa.gov.au/Species/Index/24 </a><br><a href=' http://rules.fish.wa.gov.au/Species/Index/28 '> http://rules.fish.wa.gov.au/Species/Index/28 </a><br><a href=' http://rules.fish.wa.gov.au/Species/Index/19 '> http://rules.fish.wa.gov.au/Species/Index/19 </a>"
"45","Pemberton, Western Australia",116.0332544,-34.4455602,"Ryan and Steve head to Pemberton for some Redfin Fishing","<li> Redfin Fish </li>","<img src=' http://rules.fish.wa.gov.au/species/image/10 ' width='200'>","<a href=' http://rules.fish.wa.gov.au/Species/Index/10 '> http://rules.fish.wa.gov.au/Species/Index/10 </a>"
"46","Perth Rottnest Samson, Western Australia",115.5151009,-32.004113,"Best of Fishing WA Episode 6 Preview - Perth/Rottnest","<li> Tailor Fish </li>","<img src=' http://rules.fish.wa.gov.au/species/image/20 ' width='200'>","<a href=' http://rules.fish.wa.gov.au/Species/Index/20 '> http://rules.fish.wa.gov.au/Species/Index/20 </a>"
"47","Perth Swan River, Western Australia",115.911260309692,-31.8900342778201,"Steve chases big Winter Bream at Perth Yacht clubs on the Swan River with soft plastics<br>Perth Black Bream Fishing Western Australia Series 14 Ep 17 full Show","<li> Bream Black Fish </li>","<img src=' http://rules.fish.wa.gov.au/species/image/45 ' width='200'><br><img src=' http://rules.fish.wa.gov.au/species/image/180 ' width='200'>","<a href=' http://rules.fish.wa.gov.au/Species/Index/45 '> http://rules.fish.wa.gov.au/Species/Index/45 </a><br><a href=' http://rules.fish.wa.gov.au/Species/Index/180 '> http://rules.fish.wa.gov.au/Species/Index/180 </a>"
"48","Perth Yanchep Lagoon, Western Australia",115.6367536,-31.5481086,"Perth Yanchep Lagoon tailor ","<li> Tailor Fish </li>","<img src=' http://rules.fish.wa.gov.au/species/image/20 ' width='200'>","<a href=' http://rules.fish.wa.gov.au/Species/Index/20 '> http://rules.fish.wa.gov.au/Species/Index/20 </a>"
"49","Perth, Western Australia",115.861309,-31.9523123,"King George Whiting and Perth Dhufish Part 2 , Fishing WA Series 4 Ep 16 Part 2<br>Perth Dhufish<br>Ryan takes Steve out to the FADs off Perth for some great Mahi Mahi action<br>Perth Herring How to catch fishing WA Series 3 Ep 12<br>Perth Tailor Secrets <br>Steve and Ian head out the one of Perth's favorite fishing grounds. The Gemini Wreck and get smashed by Samson fish.<br>Perth Octopus Fishing Western Australia Series 14 Ep 16<br>Perth King George Whiting from shore Fishing Western Australia Series 2 Ep1 Full Show<br>Monster Perth Tailor Fishing WA Series 1 Ep 8<br>Perth Metro Squid Fishing Western Australia Series 14 Ep 3 Full Show<br>Perth Whiting Fishing Western Australia Series 14 Ep 2 Full Show<br>Perth Mahi Mahi Fishing Western Australia Series 14 Ep 1 Full Show<br>Fishing Western Australia Series 13 Episode 6 Preview - Perth Squid<br>Best of Fishing WA Episode 7 Preview - Perth Sambo","<li> King George Whiting Fish </li><li>  Dhufish Fish </li><li> Dhufish Fish </li><li> Mahi Fish </li><li> Perth Herring Fish </li><li>  Herring Fish </li><li> Tailor Fish </li><li> Samson Fish </li><li> Octopus Fish </li><li> Squid Fish </li><li> Whiting Fish </li>","<img src=' http://rules.fish.wa.gov.au/species/image/14 ' width='200'><br><img src=' http://rules.fish.wa.gov.au/species/image/24 ' width='200'><br><img src=' http://rules.fish.wa.gov.au/species/image/16 ' width='200'><br><img src=' http://rules.fish.wa.gov.au/species/image/7 ' width='200'><br><img src=' http://rules.fish.wa.gov.au/species/image/20 ' width='200'><br><img src=' http://rules.fish.wa.gov.au/species/image/67 ' width='200'><br><img src=' http://rules.fish.wa.gov.au/species/image/114 ' width='200'><br><img src=' http://rules.fish.wa.gov.au/species/image/28 ' width='200'>","<a href=' http://rules.fish.wa.gov.au/Species/Index/14 '> http://rules.fish.wa.gov.au/Species/Index/14 </a><br><a href=' http://rules.fish.wa.gov.au/Species/Index/24 '> http://rules.fish.wa.gov.au/Species/Index/24 </a><br><a href=' http://rules.fish.wa.gov.au/Species/Index/16 '> http://rules.fish.wa.gov.au/Species/Index/16 </a><br><a href=' http://rules.fish.wa.gov.au/Species/Index/07 '> http://rules.fish.wa.gov.au/Species/Index/07 </a><br><a href=' http://rules.fish.wa.gov.au/Species/Index/20 '> http://rules.fish.wa.gov.au/Species/Index/20 </a><br><a href=' http://rules.fish.wa.gov.au/Species/Index/67 '> http://rules.fish.wa.gov.au/Species/Index/67 </a><br><a href=' http://rules.fish.wa.gov.au/Species/Index/114 '> http://rules.fish.wa.gov.au/Species/Index/114 </a><br><a href=' http://rules.fish.wa.gov.au/Species/Index/28 '> http://rules.fish.wa.gov.au/Species/Index/28 </a>"
"50","Pilbara, Western Australia",121.5236826,-21.5921433,"Series 5 Ep 17 Pilbara","<li> Cobia Fish </li>","<img src=' http://rules.fish.wa.gov.au/species/image/162 ' width='200'>","<a href=' http://rules.fish.wa.gov.au/Species/Index/162 '> http://rules.fish.wa.gov.au/Species/Index/162 </a>"
"51","Point Samson, Western Australia",117.1935464,-20.6287308,"Point Samson Cobia, Fishing WA Series 4 Ep 1 Part 2 Point Samson Cobia<br>Point Samson Spanish Mackerel Fishing Western Australia Series 2 Ep 5 Part 2","<li> Cobia Fish </li><li> Spanish Mackerel Fish </li>","<img src=' http://rules.fish.wa.gov.au/species/image/162 ' width='200'><br><img src=' http://rules.fish.wa.gov.au/species/image/15 ' width='200'><br><img src=' http://rules.fish.wa.gov.au/species/image/164 ' width='200'>","<a href=' http://rules.fish.wa.gov.au/Species/Index/162 '> http://rules.fish.wa.gov.au/Species/Index/162 </a><br><a href=' http://rules.fish.wa.gov.au/Species/Index/15 '> http://rules.fish.wa.gov.au/Species/Index/15 </a><br><a href=' http://rules.fish.wa.gov.au/Species/Index/164 '> http://rules.fish.wa.gov.au/Species/Index/164 </a>"
"52","Rockingham, Western Australia",115.7351399,-32.2780969,"Series 5 Ep 10 Part 1 Rockingham Squid","<li> Squid Fish </li>","<img src=' http://rules.fish.wa.gov.au/species/image/28 ' width='200'>","<a href=' http://rules.fish.wa.gov.au/Species/Index/28 '> http://rules.fish.wa.gov.au/Species/Index/28 </a>"
"53","Rottnest Island Islands Samson, Western Australia",115.5151009,-32.004113,"Best of Fishing WA Episode 18 Preview - Rottnest Islands","<li> Salmon Fish </li><li>  Samson Fish </li><li>  Mackerel Fish </li>","<img src=' http://rules.fish.wa.gov.au/species/image/67 ' width='200'><br><img src=' http://rules.fish.wa.gov.au/species/image/128 ' width='200'><br><img src=' http://rules.fish.wa.gov.au/species/image/164 ' width='200'>","<a href=' http://rules.fish.wa.gov.au/Species/Index/67 '> http://rules.fish.wa.gov.au/Species/Index/67 </a><br><a href=' http://rules.fish.wa.gov.au/Species/Index/128 '> http://rules.fish.wa.gov.au/Species/Index/128 </a><br><a href=' http://rules.fish.wa.gov.au/Species/Index/164 '> http://rules.fish.wa.gov.au/Species/Index/164 </a>"
"54","Rowley Shoals, Western Australia",119.1666667,-17.3333333,"Coral Trout Fishing Western Australia Series 2 Ep 10 Part 1<br>Rowley Shoals Fishing Western Australia series 1 Ep5 Full Show","<li> Trout Fish </li><li> Marlin Fish </li><li>  Sailfish Fish </li>","<img src=' http://rules.fish.wa.gov.au/species/image/72 ' width='200'><br><img src=' http://rules.fish.wa.gov.au/species/image/77 ' width='200'><br><img src=' http://rules.fish.wa.gov.au/species/image/154 ' width='200'>","<a href=' http://rules.fish.wa.gov.au/Species/Index/72 '> http://rules.fish.wa.gov.au/Species/Index/72 </a><br><a href=' http://rules.fish.wa.gov.au/Species/Index/77 '> http://rules.fish.wa.gov.au/Species/Index/77 </a><br><a href=' http://rules.fish.wa.gov.au/Species/Index/154 '> http://rules.fish.wa.gov.au/Species/Index/154 </a>"
"55","Scarborough Beach, Western Australia",115.7548947,-31.8935181,"Local Perth Beach Fishing Fishing WA Series 2 Ep 12 Part 2","<li> Herring Fish </li><li>  Whiting Fish </li>","<img src=' http://rules.fish.wa.gov.au/species/image/7 ' width='200'><br><img src=' http://rules.fish.wa.gov.au/species/image/24 ' width='200'>","<a href=' http://rules.fish.wa.gov.au/Species/Index/07 '> http://rules.fish.wa.gov.au/Species/Index/07 </a><br><a href=' http://rules.fish.wa.gov.au/Species/Index/24 '> http://rules.fish.wa.gov.au/Species/Index/24 </a>"
"56","Shark Bay, Western Australia",113.9536466,-26.3773788,"5Kg Tailor Shark Bay Series 2 Ep 18 Part 2<br>Shark Bay Pink Snapper Fishing WA Series 2 Ep 18 Part 1","<li> Tailor Fish </li><li>  Shark Fish </li><li> Pink Snapper Fish </li>","<img src=' http://rules.fish.wa.gov.au/species/image/20 ' width='200'><br><img src=' http://rules.fish.wa.gov.au/species/image/13 ' width='200'>","<a href=' http://rules.fish.wa.gov.au/Species/Index/20 '> http://rules.fish.wa.gov.au/Species/Index/20 </a><br><a href=' http://rules.fish.wa.gov.au/Species/Index/13 '> http://rules.fish.wa.gov.au/Species/Index/13 </a>"
"57","South Muiron Island, Western Australia",114.3192862,-21.6915091,"Best of Fishing WA Episode 5 Preview - Deep sea Marlin","<li> Marlin Fish </li>","<img src=' http://rules.fish.wa.gov.au/species/image/77 ' width='200'>","<a href=' http://rules.fish.wa.gov.au/Species/Index/77 '> http://rules.fish.wa.gov.au/Species/Index/77 </a>"
"58","South West, Western Australia",116.0413889,-34.0556829,"Ryan is in the South West hunting for Salmon","<li> Salmon Fish </li>","<img src=' http://rules.fish.wa.gov.au/species/image/128 ' width='200'>","<a href=' http://rules.fish.wa.gov.au/Species/Index/128 '> http://rules.fish.wa.gov.au/Species/Index/128 </a>"
"59","Swan River Upper, Western Australia",115.911260309692,-31.8900342778201,"Series 5 Ep 16 Upper swan river","<li> Bream Black Fish </li>","<img src=' http://rules.fish.wa.gov.au/species/image/45 ' width='200'><br><img src=' http://rules.fish.wa.gov.au/species/image/180 ' width='200'>","<a href=' http://rules.fish.wa.gov.au/Species/Index/45 '> http://rules.fish.wa.gov.au/Species/Index/45 </a><br><a href=' http://rules.fish.wa.gov.au/Species/Index/180 '> http://rules.fish.wa.gov.au/Species/Index/180 </a>"
"60","Swan River, Western Australia",115.911260309692,-31.8900342778201,"Freo Swan Flathead<br>Ryan Takes Jacko down to the Swan River for some summer flathead fun<br>Swan River Big Winter Bream <br>Swan River flathead<br>Steve jumps in the tinny on the Swan River to get into some Bream fishing<br>Swan River Flathead Fishing Western Australia Series 2 Ep 8 Part 1","<li> Flathead Fish </li><li> Bream Black Fish </li>","<img src=' http://rules.fish.wa.gov.au/species/image/19 ' width='200'><br><img src=' http://rules.fish.wa.gov.au/species/image/45 ' width='200'><br><img src=' http://rules.fish.wa.gov.au/species/image/180 ' width='200'>","<a href=' http://rules.fish.wa.gov.au/Species/Index/19 '> http://rules.fish.wa.gov.au/Species/Index/19 </a><br><a href=' http://rules.fish.wa.gov.au/Species/Index/45 '> http://rules.fish.wa.gov.au/Species/Index/45 </a><br><a href=' http://rules.fish.wa.gov.au/Species/Index/180 '> http://rules.fish.wa.gov.au/Species/Index/180 </a>"
"61","Waego Beach, Western Australia",114.123872840859,-27.9037036233012,"Best of Fishing WA Episode 12 Preview - Waego Beach (Kalbarri)","<li> Pink Snapper Fish </li><li>  Tuna Fish </li><li>  Tailor Fish </li><li>  Mulloway Fish </li>","<img src=' http://rules.fish.wa.gov.au/species/image/13 ' width='200'><br><img src=' http://rules.fish.wa.gov.au/species/image/20 ' width='200'><br><img src=' http://rules.fish.wa.gov.au/species/image/106 ' width='200'><br><img src=' http://rules.fish.wa.gov.au/species/image/121 ' width='200'>","<a href=' http://rules.fish.wa.gov.au/Species/Index/13 '> http://rules.fish.wa.gov.au/Species/Index/13 </a><br><a href=' http://rules.fish.wa.gov.au/Species/Index/20 '> http://rules.fish.wa.gov.au/Species/Index/20 </a><br><a href=' http://rules.fish.wa.gov.au/Species/Index/106 '> http://rules.fish.wa.gov.au/Species/Index/106 </a><br><a href=' http://rules.fish.wa.gov.au/Species/Index/121 '> http://rules.fish.wa.gov.au/Species/Index/121 </a>"
"62","Warren River, Western Australia",115.915015970083,-34.6047249496599,"Warren River Redfin<br>Best of Fishing WA Episode 15 Preview - Warren River Redfin","<li> Redfin Fish </li>","<img src=' http://rules.fish.wa.gov.au/species/image/10 ' width='200'>","<a href=' http://rules.fish.wa.gov.au/Species/Index/10 '> http://rules.fish.wa.gov.au/Species/Index/10 </a>"
"63","Wilderness Island, Western Australia",114.518969,-22.071024,"Exmouth Mud Crabs Fishing Western Australia Series 14 Ep 9 Full Show<br>Emouth Mangrove jacks Fishing Western Australia Series 14 Ep8 Full Show","<li> Mud Crabs Fish </li><li>  Rig Fish </li><li> Mangrove Mangrove Jack Fish </li>","<img src=' http://rules.fish.wa.gov.au/species/image/46 ' width='200'><br><img src=' http://rules.fish.wa.gov.au/species/image/122 ' width='200'>","<a href=' http://rules.fish.wa.gov.au/Species/Index/46 '> http://rules.fish.wa.gov.au/Species/Index/46 </a><br><a href=' http://rules.fish.wa.gov.au/Species/Index/122 '> http://rules.fish.wa.gov.au/Species/Index/122 </a>"
"64","Wilson, Western Australia",115.9116754,-32.0197407,"Kevin Bloody Wilson goes bream fishing, Fishing Western Australia Series 2 Ep 6 Part 1","<li> Bream Black Fish </li>","<img src=' http://rules.fish.wa.gov.au/species/image/45 ' width='200'><br><img src=' http://rules.fish.wa.gov.au/species/image/180 ' width='200'>","<a href=' http://rules.fish.wa.gov.au/Species/Index/45 '> http://rules.fish.wa.gov.au/Species/Index/45 </a><br><a href=' http://rules.fish.wa.gov.au/Species/Index/180 '> http://rules.fish.wa.gov.au/Species/Index/180 </a>"
"65","Wymdham, Western Australia",128.1221866,-15.4869106,"Series 5 Ep 14  Wymdham","<li> Barramundi Fish </li>","<img src=' http://rules.fish.wa.gov.au/species/image/18 ' width='200'>","<a href=' http://rules.fish.wa.gov.au/Species/Index/18 '> http://rules.fish.wa.gov.au/Species/Index/18 </a>"
"66","Yanchep, Western Australia",115.6367536,-31.5481086,"Steve loves his Tailor and shows his secret Yanchep Tailor spot","<li> Tailor Fish </li>","<img src=' http://rules.fish.wa.gov.au/species/image/20 ' width='200'>","<a href=' http://rules.fish.wa.gov.au/Species/Index/20 '> http://rules.fish.wa.gov.au/Species/Index/20 </a>"
