Reporting Group,Common Name,Scientific Name,Kept,se,Released,se,Total,se,% Rel
Lobster,Western Rock Lobster,Panulirus cygnus,"103,804","23,819","68,126","20,929","171,930","40,729",40%
Breams,Pink Snapper,Chrysophrys auratus,"5,886","1,029","9,628","2,507","15,515","3,223",62%
Cods,Breaksea Cod,Epinephelides armatus,"1,007",297,"1,097",382,"2,103",581,52%
Emperors,Redthroat Emperor,Lethrinus miniatus,872,283,"1,756",947,"2,628","1,096",67%
Pearl Perch,West Australian Dhufish,Glaucosoma hebraicum,"5,094",898,"4,390",952,"9,483","1,720",46%
Wrasses,Baldchin Groper,Choerodon rubescens,"10,063","1,819","5,088","1,308","15,151","2,790",34%
